,sofifa_id,short_name,long_name,overall,potential,value_eur,wage_eur,age,height_cm
0,158023,L. Messi,Lionel Andrés Messi Cuccittini,1.0000000000000002,0.9565217391304348,0.40203411498471575,0.9141630901287554,0.4736842105263157,0.2941176470588238
1,188545,R. Lewandowski,Robert Lewandowski,0.9782608695652175,0.9347826086956521,0.6159615652272529,0.771101573676681,0.42105263157894735,0.5882352941176472
2,20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,0.9565217391304348,0.9130434782608694,0.2319231304545056,0.771101573676681,0.5263157894736842,0.6274509803921569
3,190871,Neymar Jr,Neymar da Silva Santos Júnior,0.9565217391304348,0.9130434782608694,0.664932909258677,0.771101573676681,0.3421052631578947,0.392156862745098
4,192985,K. De Bruyne,Kevin De Bruyne,0.9565217391304348,0.9130434782608694,0.6468908351418365,1.0,0.368421052631579,0.5098039215686274
5,200389,J. Oblak,Jan Oblak,0.9565217391304348,0.9565217391304348,0.5772999778340232,0.37052932761087265,0.3157894736842105,0.6470588235294117
6,231747,K. Mbappé,Kylian Mbappé Lottin,0.9565217391304348,0.9999999999999998,1.0,0.6566523605150215,0.1578947368421053,0.5294117647058822
7,167495,M. Neuer,Manuel Peter Neuer,0.9347826086956523,0.8913043478260869,0.06954446340294136,0.24463519313304719,0.5,0.7450980392156863
8,192448,M. ter Stegen,Marc-André ter Stegen,0.9347826086956523,0.9347826086956521,0.5102865596857586,0.7138769670958512,0.3421052631578947,0.6274509803921569
9,202126,H. Kane,Harry Kane,0.9347826086956523,0.8913043478260869,0.6675103484182257,0.6852646638054364,0.2894736842105263,0.6470588235294117
10,215914,N. Kanté,N'Golo Kanté,0.9347826086956523,0.8913043478260869,0.5154414380048559,0.6566523605150215,0.368421052631579,0.2549019607843137
11,165153,K. Benzema,Karim Benzema,0.9130434782608696,0.8695652173913042,0.3401755751555484,1.0,0.4473684210526315,0.5882352941176472
12,192119,T. Courtois,Thibaut Courtois,0.9130434782608696,0.9130434782608694,0.44069570237794536,0.7138769670958512,0.3421052631578947,0.8627450980392157
13,200104,H. Son,손흥민 孙兴慜,0.9130434782608696,0.8695652173913042,0.536060951281245,0.6280400572246067,0.3157894736842105,0.5490196078431375
14,200145,Casemiro,Carlos Henrique Venancio Casimiro,0.9130434782608696,0.8695652173913042,0.45358289817568853,0.8855507868383405,0.3421052631578947,0.5882352941176472
15,203376,V. van Dijk,Virgil van Dijk,0.9130434782608696,0.8695652173913042,0.443273141537494,0.6566523605150215,0.3421052631578947,0.7450980392156863
16,208722,S. Mané,Sadio Mané,0.9130434782608696,0.8695652173913042,0.5205963163239532,0.771101573676681,0.3421052631578947,0.392156862745098
17,209331,M. Salah,Mohamed Salah Ghaly,0.9130434782608696,0.8695652173913042,0.5205963163239532,0.771101573676681,0.3421052631578947,0.392156862745098
18,210257,Ederson,Ederson Santana de Moraes,0.9130434782608696,0.9130434782608694,0.4845121680902722,0.5708154506437768,0.2894736842105263,0.6470588235294117
19,212622,J. Kimmich,Joshua Walter Kimmich,0.9130434782608696,0.8913043478260869,0.5566804645576341,0.4563662374821173,0.26315789473684204,0.4313725490196081
20,212831,Alisson,Alisson Ramsés Becker,0.9130434782608696,0.8913043478260869,0.42265362826110486,0.542203147353362,0.3157894736842105,0.7058823529411766
21,230621,G. Donnarumma,Gianluigi Donnarumma,0.9130434782608696,0.9565217391304348,0.6159615652272529,0.3133047210300429,0.1578947368421053,0.8039215686274512
22,155862,Sergio Ramos,Sergio Ramos García,0.8913043478260871,0.8478260869565217,0.12367068575346278,0.32761087267525035,0.5,0.5686274509803924
23,176580,L. Suárez,Luis Alberto Suárez Díaz,0.8913043478260871,0.8478260869565217,0.22934569129495697,0.3848354792560801,0.4736842105263157,0.5294117647058822
24,182521,T. Kroos,Toni Kroos,0.8913043478260871,0.8478260869565217,0.3865694800274239,0.8855507868383405,0.39473684210526316,0.5490196078431375
25,192505,R. Lukaku,Romelu Lukaku Menama,0.8913043478260871,0.8478260869565217,0.48193472893072353,0.7424892703862661,0.3157894736842105,0.7058823529411766
26,193041,K. Navas,Keylor Navas Gamboa,0.8913043478260871,0.8478260869565217,0.07985422004113592,0.37052932761087265,0.4736842105263157,0.5882352941176472
27,202652,R. Sterling,Raheem Sterling,0.8913043478260871,0.8695652173913042,0.5541030253980855,0.8283261802575107,0.26315789473684204,0.2941176470588238
28,212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,0.8913043478260871,0.8695652173913042,0.5541030253980855,0.7138769670958512,0.26315789473684204,0.47058823529411775
29,239085,E. Haaland,Erling Braut Haaland,0.8913043478260871,0.9565217391304348,0.7087493749710038,0.3133047210300429,0.10526315789473684,0.7647058823529411
30,153079,S. Agüero,Sergio Leonel Agüero del Castillo,0.8695652173913044,0.826086956521739,0.26285240036908925,0.7424892703862661,0.4473684210526315,0.3529411764705883
31,167948,H. Lloris,Hugo Lloris,0.8695652173913044,0.826086956521739,0.06954446340294136,0.3562231759656652,0.4736842105263157,0.6470588235294117
32,177003,L. Modrić,Luka Modrić,0.8695652173913044,0.826086956521739,0.164909712306241,0.542203147353362,0.5,0.3333333333333335
33,183898,Á. Di María,Ángel Fabián Di María Hernández,0.8695652173913044,0.826086956521739,0.25512008289044336,0.4563662374821173,0.4473684210526315,0.4901960784313726
34,186153,W. Szczęsny,Wojciech Tomasz Szczęsny,0.8695652173913044,0.826086956521739,0.21645849549721377,0.29899856938483543,0.39473684210526316,0.784313725490196
